municipality_mapbiomas,code_muni
Cachoeira de Minas,3109709
Cachoeira Dourada,3109808
Caetanopolis,3109907
Caete,3110004
Caiana,3110103
Cajuri,3110202
Caldas,3110301
Camacho,3110400
Camanducaia,3110509
Cambui,3110608
Cambuquira,3110707
Campanario,3110806
Campanha,3110905
Campestre,3111002
Campina Verde,3111101
Campo Azul,3111150
Campo Belo,3111200
Campo do Meio,3111309
Campo Florido,3111408
Campos Altos,3111507
Campos Gerais,3111606
Canaa,3111705
Canapolis,3111804
Cana Verde,3111903
Candeias,3112000
Cantagalo,3112059
Caparao,3112109
Capela Nova,3112208
Capelinha,3112307
Capetinga,3112406
Capim Branco,3112505
Capinopolis,3112604
Capitao Andrade,3112653
Capitao Eneas,3112703
Capitolio,3112802
Caputira,3112901
Carai,3113008
Caranaiba,3113107
Carandai,3113206
Carangola,3113305
Caratinga,3113404
Carbonita,3113503
Careacu,3113602
Carlos Chagas,3113701
Carmesia,3113800
Carmo da Cachoeira,3113909
Carmo da Mata,3114006
Carmo de Minas,3114105
Carmo do Cajuru,3114204
Carmo do Paranaiba,3114303
Carmo do Rio Claro,3114402
Carmopolis de Minas,3114501
Carneirinho,3114550
Carrancas,3114600
Carvalhopolis,3114709
Carvalhos,3114808
Casa Grande,3114907
Cascalho Rico,3115003
Cassia,3115102
Conceicao da Barra de Minas,3115201
Cataguases,3115300
Catas Altas,3115359
Catas Altas da Noruega,3115409
Catuji,3115458
Catuti,3115474
Caxambu,3115508
Cedro do Abaete,3115607
Central de Minas,3115706
Centralina,3115805
Chacara,3115904
Chale,3116001
Chapada do Norte,3116100
Chapada Gaucha,3116159
Chiador,3116209
Cipotanea,3116308
Claraval,3116407
Claro dos Pocoes,3116506
Claudio,3116605
Coimbra,3116704
Coluna,3116803
Comendador Gomes,3116902
Comercinho,3117009
Conceicao da Aparecida,3117108
Conceicao das Pedras,3117207
Conceicao das Alagoas,3117306
Conceicao de Ipanema,3117405
Conceicao do Mato Dentro,3117504
Conceicao do Para,3117603
Conceicao do Rio Verde,3117702
Conceicao dos Ouros,3117801
Conego Marinho,3117836
Confins,3117876
Congonhal,3117900
Congonhas,3118007
Congonhas do Norte,3118106
Conquista,3118205
Conselheiro Lafaiete,3118304
Conselheiro Pena,3118403
Consolacao,3118502
Contagem,3118601
Coqueiral,3118700
Coracao de Jesus,3118809
Cordisburgo,3118908
Cordislandia,3119005
Corinto,3119104
Coroaci,3119203
Coromandel,3119302
Coronel Fabriciano,3119401
Coronel Murta,3119500
Coronel Pacheco,3119609
Coronel Xavier Chaves,3119708
Corrego Danta,3119807
Corrego do Bom Jesus,3119906
Corrego Fundo,3119955
Corrego Novo,3120003
Couto de Magalhaes de Minas,3120102
Crisolita,3120151
Cristais,3120201
Cristalia,3120300
Cristiano Otoni,3120409
Cristina,3120508
Crucilandia,3120607
Cruzeiro da Fortaleza,3120706
Cruzilia,3120805
Cuparaque,3120839
Curral de Dentro,3120870
Curvelo,3120904
Datas,3121001
Delfim Moreira,3121100
Delfinopolis,3121209
Delta,3121258
Descoberto,3121308
Desterro de Entre Rios,3121407
Desterro do Melo,3121506
Diamantina,3121605
Diogo de Vasconcelos,3121704
Dionisio,3121803
Divinesia,3121902
Divino,3122009
Divino das Laranjeiras,3122108
Divinolandia de Minas,3122207
Divinopolis,3122306
Divisa Alegre,3122355
Divisa Nova,3122405
Divisopolis,3122454
Dom Bosco,3122470
Dom Cavati,3122504
Dom Joaquim,3122603
Dom Silverio,3122702
Dom Vicoso,3122801
Dona Euzebia,3122900
Dores de Campos,3123007
Dores de Guanhaes,3123106
Dores do Indaia,3123205
Dores do Turvo,3123304
Doresopolis,3123403
Douradoquara,3123502
Durande,3123528
Eloi Mendes,3123601
Engenheiro Caldas,3123700
Engenheiro Navarro,3123809
Entre Folhas,3123858
Entre Rios de Minas,3123908
Ervalia,3124005
Esmeraldas,3124104
Espera Feliz,3124203
Espinosa,3124302
Espirito Santo do Dourado,3124401
Estiva,3124500
Estrela Dalva,3124609
Estrela do Indaia,3124708
Estrela do Sul,3124807
Eugenopolis,3124906
Ewbank da Camara,3125002
Extrema,3125101
Fama,3125200
Faria Lemos,3125309
Felicio dos Santos,3125408
Sao Goncalo do Rio Preto,3125507
Felisburgo,3125606
Felixlandia,3125705
Fernandes Tourinho,3125804
Ferros,3125903
Fervedouro,3125952
Florestal,3126000
Formiga,3126109
Formoso,3126208
Fortaleza de Minas,3126307
Fortuna de Minas,3126406
Francisco Badaro,3126505
Francisco Dumont,3126604
Francisco Sa,3126703
Franciscopolis,3126752
Frei Gaspar,3126802
Frei Inocencio,3126901
Frei Lagonegro,3126950
Fronteira,3127008
Fronteira dos Vales,3127057
Fruta de Leite,3127073
Frutal,3127107
Funilandia,3127206
Galileia,3127305
Gameleiras,3127339
Glaucilandia,3127354
Goiabeira,3127370
Goiana,3127388
Goncalves,3127404
Gonzaga,3127503
Gouveia,3127602
Governador Valadares,3127701
Grao Mogol,3127800
Grupiara,3127909
Guanhaes,3128006
Guape,3128105
Guaraciaba,3128204
Guaraciama,3128253
Guaranesia,3128303
Guarani,3128402
Guarara,3128501
Guarda-Mor,3128600
Guaxupe,3128709
Guidoval,3128808
Guimarania,3128907
Guiricema,3129004
Gurinhata,3129103
Heliodora,3129202
Iapu,3129301
Ibertioga,3129400
Ibia,3129509
Ibiai,3129608
Ibiracatu,3129657
Ibiraci,3129707
Ibirite,3129806
Ibitiura de Minas,3129905
Ibituruna,3130002
Icarai de Minas,3130051
Igarape,3130101
Igaratinga,3130200
Iguatama,3130309
Ijaci,3130408
Ilicinea,3130507
Imbe de Minas,3130556
Inconfidentes,3130606
Indaiabira,3130655
Indianopolis,3130705
Ingai,3130804
Inhapim,3130903
Inhauma,3131000
Inimutaba,3131109
Ipaba,3131158
Ipanema,3131208
Ipatinga,3131307
Ipiacu,3131406
Ipuiuna,3131505
Irai de Minas,3131604
Itabira,3131703
Itabirinha,3131802
Itabirito,3131901
Itacambira,3132008
Itacarambi,3132107
Itaguara,3132206
Itaipe,3132305
Itajuba,3132404
Itamarandiba,3132503
Itamarati de Minas,3132602
Itambacuri,3132701
Itambe do Mato Dentro,3132800
Itamogi,3132909
Itamonte,3133006
Itanhandu,3133105
Itanhomi,3133204
Itaobim,3133303
Itapagipe,3133402
Itapecerica,3133501
Itapeva,3133600
Itatiaiucu,3133709
Itau de Minas,3133758
Itauna,3133808
Itaverava,3133907
Itinga,3134004
Itueta,3134103
Ituiutaba,3134202
Itumirim,3134301
Iturama,3134400
Itutinga,3134509
Jaboticatubas,3134608
Jacinto,3134707
Jacui,3134806
Jacutinga,3134905
Jaguaracu,3135001
Jaiba,3135050
Jampruca,3135076
Janauba,3135100
Januaria,3135209
Japaraiba,3135308
Japonvar,3135357
Jeceaba,3135407
Jenipapo de Minas,3135456
Jequeri,3135506
Jequitai,3135605
Jequitiba,3135704
Jequitinhonha,3135803
Jesuania,3135902
Joaima,3136009
Joanesia,3136108
Joao Monlevade,3136207
Joao Pinheiro,3136306
Joaquim Felicio,3136405
Jordania,3136504
Jose Goncalves de Minas,3136520
Jose Raydan,3136553
Josenopolis,3136579
Nova Uniao,3136603
Juatuba,3136652
Juiz de Fora,3136702
Juramento,3136801
Juruaia,3136900
Juvenilia,3136959
Ladainha,3137007
Lagamar,3137106
Lagoa da Prata,3137205
Lagoa dos Patos,3137304
Lagoa Dourada,3137403
Lagoa Formosa,3137502
Lagoa Grande,3137536
Lagoa Santa,3137601
Lajinha,3137700
Lambari,3137809
Lamim,3137908
Laranjal,3138005
Lassance,3138104
Lavras,3138203
Leandro Ferreira,3138302
Leme do Prado,3138351
Leopoldina,3138401
Liberdade,3138500
Lima Duarte,3138609
Limeira do Oeste,3138625
Lontra,3138658
Luisburgo,3138674
Luislandia,3138682
Luminarias,3138708
Luz,3138807
Machacalis,3138906
Machado,3139003
Madre de Deus de Minas,3139102
Malacacheta,3139201
Mamonas,3139250
Manga,3139300
Manhuacu,3139409
Manhumirim,3139508
Mantena,3139607
Maravilhas,3139706
Mar de Espanha,3139805
Maria da Fe,3139904
Mariana,3140001
Marilac,3140100
Mario Campos,3140159
Maripa de Minas,3140209
Marlieria,3140308
Marmelopolis,3140407
Martinho Campos,3140506
Martins Soares,3140530
Mata Verde,3140555
Materlandia,3140605
Mateus Leme,3140704
Matias Barbosa,3140803
Matias Cardoso,3140852
Matipo,3140902
Mato Verde,3141009
Matozinhos,3141108
Matutina,3141207
Medeiros,3141306
Medina,3141405
Mendes Pimentel,3141504
Merces,3141603
Mesquita,3141702
Minas Novas,3141801
Minduri,3141900
Mirabela,3142007
Miradouro,3142106
Mirai,3142205
Miravania,3142254
Moeda,3142304
Moema,3142403
Monjolos,3142502
Monsenhor Paulo,3142601
Montalvania,3142700
Monte Alegre de Minas,3142809
Monte Azul,3142908
Monte Belo,3143005
Monte Carmelo,3143104
Monte Formoso,3143153
Monte Santo de Minas,3143203
Montes Claros,3143302
Monte Siao,3143401
Montezuma,3143450
Morada Nova de Minas,3143500
Morro da Garca,3143609
Morro do Pilar,3143708
Munhoz,3143807
Muriae,3143906
Mutum,3144003
Muzambinho,3144102
Nacip Raydan,3144201
Nanuque,3144300
Naque,3144359
Natalandia,3144375
Natercia,3144409
Nazareno,3144508
Nepomuceno,3144607
Ninheira,3144656
Nova Belem,3144672
Nova Era,3144706
Nova Lima,3144805
Nova Modica,3144904
Nova Ponte,3145000
Nova Porteirinha,3145059
Nova Resende,3145109
Nova Serrana,3145208
Novo Cruzeiro,3145307
Novo Oriente de Minas,3145356
Novorizonte,3145372
Olaria,3145406
Olhos-d'Agua,3145455
Olimpio Noronha,3145505
Oliveira,3145604
Oliveira Fortes,3145703
Onca de Pitangui,3145802
Oratorios,3145851
Orizania,3145877
Ouro Branco,3145901
Ouro Fino,3146008
Ouro Preto,3146107
Ouro Verde de Minas,3146206
Padre Carvalho,3146255
Padre Paraiso,3146305
Paineiras,3146404
Pains,3146503
Pai Pedro,3146552
Paiva,3146602
Palma,3146701
Palmopolis,3146750
Papagaios,3146909
Paracatu,3147006
Para de Minas,3147105
Paraguacu,3147204
Paraisopolis,3147303
Paraopeba,3147402
Passabem,3147501
Passa Quatro,3147600
Passa Tempo,3147709
Passa Vinte,3147808
Passos,3147907
Patis,3147956
Patos de Minas,3148004
Patrocinio,3148103
Patrocinio do Muriae,3148202
Paula Candido,3148301
Paulistas,3148400
Pavao,3148509
Pecanha,3148608
Pedra Azul,3148707
Pedra Bonita,3148756
Pedra do Anta,3148806
Pedra do Indaia,3148905
Pedra Dourada,3149002
Pedralva,3149101
Pedras de Maria da Cruz,3149150
Pedrinopolis,3149200
Pedro Leopoldo,3149309
Pedro Teixeira,3149408
Pequeri,3149507
Pequi,3149606
Perdigao,3149705
Perdizes,3149804
Perdoes,3149903
Periquito,3149952
Pescador,3150000
Piau,3150109
Piedade de Caratinga,3150158
Piedade de Ponte Nova,3150208
Piedade do Rio Grande,3150307
Piedade dos Gerais,3150406
Pimenta,3150505
Pingo-d'Agua,3150539
Pintopolis,3150570
Piracema,3150604
Pirajuba,3150703
Piranga,3150802
Pirangucu,3150901
Piranguinho,3151008
Pirapetinga,3151107
Pirapora,3151206
Pirauba,3151305
Pitangui,3151404
Piumhi,3151503
Planura,3151602
Poco Fundo,3151701
Pocos de Caldas,3151800
Pocrane,3151909
Pompeu,3152006
Ponte Nova,3152105
Ponto Chique,3152131
Ponto dos Volantes,3152170
Porteirinha,3152204
Porto Firme,3152303
Pote,3152402
Pouso Alegre,3152501
Pouso Alto,3152600
Prados,3152709
Prata,3152808
Pratapolis,3152907
Pratinha,3153004
Presidente Bernardes,3153103
Presidente Juscelino,3153202
Presidente Kubitschek,3153301
Presidente Olegario,3153400
Alto Jequitiba,3153509
Prudente de Morais,3153608
Quartel Geral,3153707
Queluzito,3153806
Raposos,3153905
Raul Soares,3154002
Recreio,3154101
Reduto,3154150
Resende Costa,3154200
Resplendor,3154309
Ressaquinha,3154408
Riachinho,3154457
Riacho dos Machados,3154507
Ribeirao das Neves,3154606
Ribeirao Vermelho,3154705
Rio Acima,3154804
Rio Casca,3154903
Rio Doce,3155009
Rio do Prado,3155108
Rio Espera,3155207
Rio Manso,3155306
Rio Novo,3155405
Rio Paranaiba,3155504
Rio Pardo de Minas,3155603
Rio Piracicaba,3155702
Rio Pomba,3155801
Rio Preto,3155900
Rio Vermelho,3156007
Ritapolis,3156106
Rochedo de Minas,3156205
Rodeiro,3156304
Romaria,3156403
Rosario da Limeira,3156452
Rubelita,3156502
Rubim,3156601
Sabara,3156700
Sabinopolis,3156809
Sacramento,3156908
Salinas,3157005
Salto da Divisa,3157104
Santa Barbara,3157203
Santa Barbara do Leste,3157252
Santa Barbara do Monte Verde,3157278
Santa Barbara do Tugurio,3157302
Santa Cruz de Minas,3157336
Santa Cruz de Salinas,3157377
Santa Cruz do Escalvado,3157401
Santa Efigenia de Minas,3157500
Santa Fe de Minas,3157609
Santa Helena de Minas,3157658
Santa Juliana,3157708
Santa Luzia,3157807
Santa Margarida,3157906
Santa Maria de Itabira,3158003
Santa Maria do Salto,3158102
Santa Maria do Suacui,3158201
Santana da Vargem,3158300
Santana de Cataguases,3158409
Santana de Pirapama,3158508
Santana do Deserto,3158607
Santana do Garambeu,3158706
Santana do Jacare,3158805
Santana do Manhuacu,3158904
Santana do Paraiso,3158953
Santana do Riacho,3159001
Santana dos Montes,3159100
Santa Rita de Caldas,3159209
Santa Rita de Jacutinga,3159308
Santa Rita de Minas,3159357
Santa Rita de Ibitipoca,3159407
Santa Rita do Itueto,3159506
Santa Rita do Sapucai,3159605
Santa Rosa da Serra,3159704
Santa Vitoria,3159803
Santo Antonio do Amparo,3159902
Santo Antonio do Aventureiro,3160009
Santo Antonio do Grama,3160108
Santo Antonio do Itambe,3160207
Santo Antonio do Jacinto,3160306
Santo Antonio do Monte,3160405
Santo Antonio do Retiro,3160454
Santo Antonio do Rio Abaixo,3160504
Santo Hipolito,3160603
Santos Dumont,3160702
Sao Bento Abade,3160801
Sao Bras do Suacui,3160900
Sao Domingos das Dores,3160959
Sao Domingos do Prata,3161007
Sao Felix de Minas,3161056
Sao Francisco,3161106
Sao Francisco de Paula,3161205
Sao Francisco de Sales,3161304
Sao Francisco do Gloria,3161403
Sao Geraldo,3161502
Sao Geraldo da Piedade,3161601
Sao Geraldo do Baixio,3161650
Sao Goncalo do Abaete,3161700
Sao Goncalo do Para,3161809
Sao Goncalo do Rio Abaixo,3161908
Sao Goncalo do Sapucai,3162005
Sao Gotardo,3162104
Sao Joao Batista do Gloria,3162203
Sao Joao da Lagoa,3162252
Sao Joao da Mata,3162302
Sao Joao da Ponte,3162401
Sao Joao das Missoes,3162450
Sao Joao del Rei,3162500
Sao Joao do Manhuacu,3162559
Sao Joao do Manteninha,3162575
Sao Joao do Oriente,3162609
Sao Joao do Pacui,3162658
Sao Joao do Paraiso,3162708
Sao Joao Evangelista,3162807
Sao Joao Nepomuceno,3162906
Sao Joaquim de Bicas,3162922
Sao Jose da Barra,3162948
Sao Jose da Lapa,3162955
Sao Jose da Safira,3163003
Sao Jose da Varginha,3163102
Sao Jose do Alegre,3163201
Sao Jose do Divino,3163300
Sao Jose do Goiabal,3163409
Sao Jose do Jacuri,3163508
Sao Jose do Mantimento,3163607
Sao Lourenco,3163706
Sao Miguel do Anta,3163805
Sao Pedro da Uniao,3163904
Sao Pedro dos Ferros,3164001
Sao Pedro do Suacui,3164100
Sao Romao,3164209
Sao Roque de Minas,3164308
Sao Sebastiao da Bela Vista,3164407
Sao Sebastiao da Vargem Alegre,3164431
Sao Sebastiao do Anta,3164472
Sao Sebastiao do Maranhao,3164506
Sao Sebastiao do Oeste,3164605
Sao Sebastiao do Paraiso,3164704
Sao Sebastiao do Rio Preto,3164803
Sao Sebastiao do Rio Verde,3164902
Sao Tiago,3165008
Sao Tomas de Aquino,3165107
Sao Tome das Letras,3165206
Sao Vicente de Minas,3165305
Sapucai-Mirim,3165404
Sardoa,3165503
Sarzedo,3165537
Setubinha,3165552
Sem-Peixe,3165560
Senador Amaral,3165578
Senador Cortes,3165602
Senador Firmino,3165701
Senador Jose Bento,3165800
Senador Modestino Goncalves,3165909
Senhora de Oliveira,3166006
Senhora do Porto,3166105
Senhora dos Remedios,3166204
Sericita,3166303
Seritinga,3166402
Serra Azul de Minas,3166501
Serra da Saudade,3166600
Serra dos Aimores,3166709
Serra do Salitre,3166808
Serrania,3166907
Serranopolis de Minas,3166956
Serranos,3167004
Serro,3167103
Sete Lagoas,3167202
Silveirania,3167301
Silvianopolis,3167400
Simao Pereira,3167509
Simonesia,3167608
Sobralia,3167707
Soledade de Minas,3167806
Tabuleiro,3167905
Taiobeiras,3168002
Taparuba,3168051
Tapira,3168101
Tapirai,3168200
Taquaracu de Minas,3168309
Tarumirim,3168408
Teixeiras,3168507
Teofilo Otoni,3168606
Timoteo,3168705
Tiradentes,3168804
Tiros,3168903
Tocantins,3169000
Tocos do Moji,3169059
Toledo,3169109
Tombos,3169208
Tres Coracoes,3169307
Tres Marias,3169356
Tres Pontas,3169406
Tumiritinga,3169505
Tupaciguara,3169604
Turmalina,3169703
Turvolandia,3169802
Uba,3169901
Ubai,3170008
Ubaporanga,3170057
Uberaba,3170107
Uberlandia,3170206
Umburatiba,3170305
Unai,3170404
Uniao de Minas,3170438
Uruana de Minas,3170479
Urucania,3170503
Urucuia,3170529
Vargem Alegre,3170578
Vargem Bonita,3170602
Vargem Grande do Rio Pardo,3170651
Varginha,3170701
Varjao de Minas,3170750
Varzea da Palma,3170800
Varzelandia,3170909
Vazante,3171006
Verdelandia,3171030
Veredinha,3171071
Verissimo,3171105
Vermelho Novo,3171154
Vespasiano,3171204
Vicosa,3171303
Vieiras,3171402
Mathias Lobato,3171501
Virgem da Lapa,3171600
Virginia,3171709
Virginopolis,3171808
Virgolandia,3171907
Visconde do Rio Branco,3172004
Volta Grande,3172103
Wenceslau Braz,3172202
Afonso Claudio,3200102
Aguia Branca,3200136
Agua Doce do Norte,3200169
Alegre,3200201
Alfredo Chaves,3200300
Alto Rio Novo,3200359
Anchieta,3200409
Apiaca,3200508
Aracruz,3200607
Atilio Vivacqua,3200706
Baixo Guandu,3200805
Barra de Sao Francisco,3200904
Boa Esperanca,3201001
Bom Jesus do Norte,3201100
Brejetuba,3201159
Cachoeiro de Itapemirim,3201209
Cariacica,3201308
Castelo,3201407
Colatina,3201506
Conceicao da Barra,3201605
Conceicao do Castelo,3201704
Divino de Sao Lourenco,3201803
Domingos Martins,3201902
Dores do Rio Preto,3202009
Ecoporanga,3202108
Fundao,3202207
Governador Lindenberg,3202256
Guacui,3202306
Guarapari,3202405
Ibatiba,3202454
Ibiracu,3202504
Ibitirama,3202553
Iconha,3202603
Irupi,3202652
Itaguacu,3202702
Itapemirim,3202801
Itarana,3202900
Iuna,3203007
Jaguare,3203056
Jeronimo Monteiro,3203106
Joao Neiva,3203130
Laranja da Terra,3203163
Linhares,3203205
Mantenopolis,3203304
Marataizes,3203320
Marechal Floriano,3203346
Marilandia,3203353
Mimoso do Sul,3203403
Montanha,3203502
Mucurici,3203601
Muniz Freire,3203700
Muqui,3203809
Nova Venecia,3203908
Pancas,3204005
Pedro Canario,3204054
Pinheiros,3204104
Piuma,3204203
Ponto Belo,3204252
Presidente Kennedy,3204302
Rio Bananal,3204351
Rio Novo do Sul,3204401
Santa Leopoldina,3204500
Santa Maria de Jetiba,3204559
Santa Teresa,3204609
Sao Domingos do Norte,3204658
Sao Gabriel da Palha,3204708
Sao Jose do Calcado,3204807
Sao Mateus,3204906
Sao Roque do Canaa,3204955
Serra,3205002
Sooretama,3205010
Vargem Alta,3205036
Venda Nova do Imigrante,3205069
Viana,3205101
Vila Pavao,3205150
Vila Valerio,3205176
Vila Velha,3205200
Vitoria,3205309
Angra dos Reis,3300100
Aperibe,3300159
Araruama,3300209
Areal,3300225
Armacao dos Buzios,3300233
Arraial do Cabo,3300258
Barra do Pirai,3300308
Barra Mansa,3300407
Belford Roxo,3300456
Bom Jardim,3300506
Bom Jesus do Itabapoana,3300605
Cabo Frio,3300704
Cachoeiras de Macacu,3300803
Cambuci,3300902
Carapebus,3300936
Comendador Levy Gasparian,3300951
Campos dos Goytacazes,3301009
Cantagalo,3301108
Cardoso Moreira,3301157
Carmo,3301207
Casimiro de Abreu,3301306
Conceicao de Macabu,3301405
Cordeiro,3301504
Duas Barras,3301603
Duque de Caxias,3301702
Engenheiro Paulo de Frontin,3301801
Guapimirim,3301850
Iguaba Grande,3301876
Itaborai,3301900
Itaguai,3302007
Italva,3302056
Itaocara,3302106
Itaperuna,3302205
Itatiaia,3302254
Japeri,3302270
Laje do Muriae,3302304
Macae,3302403
Macuco,3302452
Mage,3302502
Mangaratiba,3302601
Marica,3302700
Mendes,3302809
Mesquita,3302858
Miguel Pereira,3302908
Miracema,3303005
Natividade,3303104
Nilopolis,3303203
Niteroi,3303302
Nova Friburgo,3303401
Nova Iguacu,3303500
Paracambi,3303609
Paraiba do Sul,3303708
Paraty,3303807
Paty do Alferes,3303856
Petropolis,3303906
Pinheiral,3303955
Pirai,3304003
Porciuncula,3304102
Porto Real,3304110
Quatis,3304128
Queimados,3304144
Quissama,3304151
Resende,3304201
Rio Bonito,3304300
Rio Claro,3304409
Rio das Flores,3304508
Rio das Ostras,3304524
Rio de Janeiro,3304557
Santa Maria Madalena,3304607
Santo Antonio de Padua,3304706
Sao Francisco de Itabapoana,3304755
Sao Fidelis,3304805
Sao Goncalo,3304904
Sao Joao da Barra,3305000
Sao Joao de Meriti,3305109
Sao Jose de Uba,3305133
Sao Jose do Vale do Rio Preto,3305158
Sao Pedro da Aldeia,3305208
Sao Sebastiao do Alto,3305307
Sapucaia,3305406
Saquarema,3305505
Seropedica,3305554
Silva Jardim,3305604
Sumidouro,3305703
Tangua,3305752
Teresopolis,3305802
Trajano de Moraes,3305901
Tres Rios,3306008
Valenca,3306107
Varre-Sai,3306156
Vassouras,3306206
Volta Redonda,3306305
Adamantina,3500105
Adolfo,3500204
Aguai,3500303
Aguas da Prata,3500402
Aguas de Lindoia,3500501
Aguas de Santa Barbara,3500550
Aguas de Sao Pedro,3500600
Agudos,3500709
Alambari,3500758
Alfredo Marcondes,3500808
Altair,3500907
Altinopolis,3501004
Alto Alegre,3501103
Aluminio,3501152
Alvares Florence,3501202
Alvares Machado,3501301
Alvaro de Carvalho,3501400
Alvinlandia,3501509
Americana,3501608
Americo Brasiliense,3501707
Americo de Campos,3501806
Amparo,3501905
Analandia,3502002
Andradina,3502101
Angatuba,3502200
Anhembi,3502309
Anhumas,3502408
Aparecida,3502507
Aparecida d'Oeste,3502606
Apiai,3502705
Aracariguama,3502754
Aracatuba,3502804
Aracoiaba da Serra,3502903
Aramina,3503000
Arandu,3503109
Arapei,3503158
Araraquara,3503208
Araras,3503307
Arco-Iris,3503356
Arealva,3503406
Areias,3503505
Areiopolis,3503604
Ariranha,3503703
Artur Nogueira,3503802
Aruja,3503901
Aspasia,3503950
Assis,3504008
Atibaia,3504107
Auriflama,3504206
Avai,3504305
Avanhandava,3504404
Avare,3504503
Bady Bassitt,3504602
Balbinos,3504701
Balsamo,3504800
Bananal,3504909
Barao de Antonina,3505005
Barbosa,3505104
Bariri,3505203
Barra Bonita,3505302
Barra do Chapeu,3505351
Barra do Turvo,3505401
Barretos,3505500
Barrinha,3505609
Barueri,3505708
Bastos,3505807
Batatais,3505906
Bauru,3506003
Bebedouro,3506102
Bento de Abreu,3506201
Bernardino de Campos,3506300
Bertioga,3506359
Bilac,3506409
Birigui,3506508
Biritiba Mirim,3506607
Boa Esperanca do Sul,3506706
Bocaina,3506805
Bofete,3506904
Boituva,3507001
Bom Jesus dos Perdoes,3507100
Bom Sucesso de Itarare,3507159
Bora,3507209
Boraceia,3507308
Borborema,3507407
Borebi,3507456
Botucatu,3507506
Braganca Paulista,3507605
Brauna,3507704
Brejo Alegre,3507753
Brodowski,3507803
Brotas,3507902
Buri,3508009
Buritama,3508108
Buritizal,3508207
Cabralia Paulista,3508306
Cabreuva,3508405
Cacapava,3508504
Cachoeira Paulista,3508603
Caconde,3508702
Cafelandia,3508801
Caiabu,3508900
Caieiras,3509007
Caiua,3509106
Cajamar,3509205
Cajati,3509254
Cajobi,3509304
Cajuru,3509403
Campina do Monte Alegre,3509452
Campinas,3509502
Campo Limpo Paulista,3509601
Campos do Jordao,3509700
Campos Novos Paulista,3509809
Cananeia,3509908
Canas,3509957
Candido Mota,3510005
Candido Rodrigues,3510104
Canitar,3510153
Capao Bonito,3510203
Capela do Alto,3510302
Capivari,3510401
Caraguatatuba,3510500
Carapicuiba,3510609
Cardoso,3510708
Casa Branca,3510807
Cassia dos Coqueiros,3510906
Castilho,3511003
Catanduva,3511102
Catigua,3511201
Cedral,3511300
Cerqueira Cesar,3511409
Cerquilho,3511508
Cesario Lange,3511607
Charqueada,3511706
Clementina,3511904
Colina,3512001
Colombia,3512100
Conchal,3512209
Conchas,3512308
Cordeiropolis,3512407
Coroados,3512506
Coronel Macedo,3512605
Corumbatai,3512704
Cosmopolis,3512803
Cosmorama,3512902
Cotia,3513009
Cravinhos,3513108
Cristais Paulista,3513207
Cruzalia,3513306
Cruzeiro,3513405
Cubatao,3513504
Cunha,3513603
Descalvado,3513702
Diadema,3513801
Dirce Reis,3513850
Divinolandia,3513900
Dobrada,3514007
Dois Corregos,3514106
Dolcinopolis,3514205
Dourado,3514304
Dracena,3514403
Duartina,3514502
Dumont,3514601
Echapora,3514700
Eldorado,3514809
Elias Fausto,3514908
Elisiario,3514924
Embauba,3514957
Embu das Artes,3515004
Embu-Guacu,3515103
Emilianopolis,3515129
Engenheiro Coelho,3515152
Espirito Santo do Pinhal,3515186
Espirito Santo do Turvo,3515194
Estrela d'Oeste,3515202
Estrela do Norte,3515301
Euclides da Cunha Paulista,3515350
Fartura,3515400
Fernandopolis,3515509
Fernando Prestes,3515608
Fernao,3515657
Ferraz de Vasconcelos,3515707
Flora Rica,3515806
Floreal,3515905
Florida Paulista,3516002
Florinea,3516101
Franca,3516200
Francisco Morato,3516309
Franco da Rocha,3516408
Gabriel Monteiro,3516507
Galia,3516606
Garca,3516705
Gastao Vidigal,3516804
Gaviao Peixoto,3516853
General Salgado,3516903
Getulina,3517000
Glicerio,3517109
Guaicara,3517208
Guaimbe,3517307
Guaira,3517406
Guapiacu,3517505
Guapiara,3517604
Guara,3517703
Guaracai,3517802
Guaraci,3517901
Guarani d'Oeste,3518008
Guaranta,3518107
Guararapes,3518206
Guararema,3518305
Guaratingueta,3518404
Guarei,3518503
Guariba,3518602
Guaruja,3518701
Guarulhos,3518800
Guatapara,3518859
Guzolandia,3518909
Herculandia,3519006
Holambra,3519055
Hortolandia,3519071
Iacanga,3519105
Iacri,3519204
Iaras,3519253
Ibate,3519303
Ibira,3519402
Ibirarema,3519501
Ibitinga,3519600
Ibiuna,3519709
Icem,3519808
Iepe,3519907
Igaracu do Tiete,3520004
Igarapava,3520103
Igarata,3520202
Iguape,3520301
Ilhabela,3520400
Ilha Comprida,3520426
Ilha Solteira,3520442
Indaiatuba,3520509
Indiana,3520608
Indiapora,3520707
Inubia Paulista,3520806
Ipaussu,3520905
Ipero,3521002
Ipeuna,3521101
Ipigua,3521150
Iporanga,3521200
Ipua,3521309
Iracemapolis,3521408
Irapua,3521507
Irapuru,3521606
Itabera,3521705
Itai,3521804
Itajobi,3521903
Itaju,3522000
Itanhaem,3522109
Itaoca,3522158
Itapecerica da Serra,3522208
Itapetininga,3522307
Itapeva,3522406
Itapevi,3522505
Itapira,3522604
Itapirapua Paulista,3522653
Itapolis,3522703
Itaporanga,3522802
Itapui,3522901
Itapura,3523008
Itaquaquecetuba,3523107
Itarare,3523206
Itariri,3523305
